Is be_VBZ
our our
government government_NN
following follow_VBG
in in_IN
Mussolini mussolini_NP
' '
s s_NN
footsteps footstep_NNS
? ?
#communism_h communism_h
#fascism_h fascism_h
#mussolinidid_h mussolinidid_h
you you_PP
know know_VBP
that that_IN
Mussolini mussolini_NP
once once_RB
said say_VBD
that that_IN
fascist fascist_JJ
states state_NNS
work work_VBP
by by_IN
merging merge_VBG
big big_JJ
business business_NN
and and_CC
big big_JJ
government government_NN
to to_TO
control control_VB
media medium_NNS
and and_CC
education education_NN
? ?
That that_IN
' '
s s_NNS
exactly exactly_RB
what what_WP
we we_PP
' '
re re_IN
seeing see_VBG
today today_NN
. .
We we_PP
are be_VBP
in in_IN
danger danger_NN
of of_IN
becoming become_VBG
a a_DT
totalitarian totalitarian_JJ
t t_NN
Episode episode_NP
918 @card@
: :
How how_WRB
to to_TO
stop stop_VB
Satan satan_NN
from from_IN
dividing divide_VBG
conservatives conservative_NNS
! !
- -_NNS
Listen listen_VBP
at at_IN
