Establishment establishment_NN
tools tool_NNS
like like_IN
RINO rino_NP
Gregg gregg_NP
and and_CC
Ryan ryan_NP
align align_VBP
with with_IN
Marxist marxist_JJ
Left left_NP
as as_IN
they they_PP
all all_RB
declare declare_VBP
the the_DT
man man_NN
they they_PP
fear fear_VBP
most most_RBS
will will_MD
not not_RB
be be_VB
GOP gop_NP
nominee nominee_NN
: :
#thegreatamericashow_h thegreatamericashow_h
Pres pres_NP
. .
Trump trump_NP
will will_MD
not not_RB
be be_VB
the the_DT
Republican republican_JJ
presidential presidential_JJ
nominee nominee_NN
in in_IN
2024 @card@
, ,
says say_VBZ
former former_JJ
Sen sen_NP
. .
Judd judd_NP
mp mp_NNS
will will_MD
not not_RB
be be_VB
the the_DT
Republican republican_JJ
presidential presidential_JJ
nominee nominee_NN
in in_IN
2024 @card@
, ,
says say_VBZ
former former_JJ
Sen sen_NP
. .
Judd judd_NP
GreggJudd greggjudd_NP
Gregg gregg_NP
, ,
former former_JJ
U u_NP
. .
S s_NP
. .
Senator senator_NP
from from_IN
New new_NP
Hampshire hampshire_NP
, ,
and and_CC
Bill bill_NP
Daley daley_NP
, ,
former former_JJ
Commerce commerce_NP
Secretary secretary_NP
and and_CC
chief chief_JJ
of of_IN
staff staff_NN
to to_TO
President president_NP
Barack barack_NP
