Ron ron_NP
DeSantis desantis_NP
is be_VBZ
a a_DT
young young_JJ
man man_NN
who who_WP
is be_VBZ
not not_RB
doing do_VBG
well well_RB
against against_IN
me me_PP
in in_IN
the the_DT
polls poll_NNS
, ,
to to_TO
put put_VB
it it_PP
mildly mildly_RB
. .
I i_PP
believe believe_VBP
that that_IN
if if_IN
he he_PP
decides decide_VBZ
to to_TO
run run_VB
for for_IN
President president_NP
, ,
which which_WDT
will will_MD
only only_RB
hurt hurt_VB
and and_CC
somewhat somewhat_RB
divide divide_VBP
the the_DT
Republican republican_NP
Party party_NP
, ,
he he_PP
will will_MD
lose lose_VB
the the_DT
cherished cherished_JJ
and and_CC
massive massive_JJ
MAGA maga_NP
vote vote_NN
, ,
and and_CC
never never_RB
be be_VB
able able_JJ
to to_TO
successfully successfully_RB
run run_VB
for for_IN
office office_NN
again again_RB
. .
If if_IN
he he_PP
remains remain_VBZ
Governor governor_NP
, ,
which which_WDT
is be_VBZ
what what_WP
Florida florida_NP
voters voter_NNS
assumed assume_VBD
, ,
it it_PP
would would_MD
be be_VB
a a_DT
whole whole_JJ
different different_JJ
story story_NN
… …
. .
JUST just_RB
SAYIN sayin_NP
' '
- -_NN
But but_CC
who who_WP
knows know_VBZ
? ?
